n,R,T,config_norm,median_time_ms,solved_rate
100,1.0,0.2,adaptive_v3,0.00415,1.0
100,1.0,0.2,both,0.00405,1.0
100,1.0,0.2,lawler,0.004399999999999999,1.0
100,1.0,0.2,szwarc,0.00415,1.0
100,1.0,0.4,adaptive_v1,0.0042,1.0
100,1.0,0.4,adaptive_v2,0.0043,1.0
100,1.0,0.4,adaptive_v3,0.005849999999999999,1.0
100,1.0,0.4,both,0.00425,1.0
100,1.0,0.4,lawler,0.005050000000000001,1.0
100,1.0,0.4,szwarc,0.0052499999999999995,1.0
100,1.0,0.6,adaptive_v1,0.36205,1.0
100,1.0,0.6,adaptive_v2,0.5083,1.0
100,1.0,0.6,adaptive_v3,0.5277499999999999,1.0
100,1.0,0.6,both,0.37070000000000003,1.0
100,1.0,0.6,lawler,0.36345,1.0
100,1.0,0.6,szwarc,0.6299999999999999,1.0
100,1.0,0.8,adaptive_v1,0.23695,1.0
100,1.0,0.8,adaptive_v2,0.2994,1.0
100,1.0,0.8,adaptive_v3,0.2993,1.0
100,1.0,0.8,both,0.2121,1.0
100,1.0,0.8,lawler,0.23275,1.0
100,1.0,0.8,szwarc,0.25360000000000005,1.0
200,0.2,0.2,adaptive_v1,4.1171,1.0
200,0.2,0.2,adaptive_v2,8.5372,1.0
200,0.2,0.2,adaptive_v3,8.10185,1.0
200,0.2,0.2,both,3.94215,1.0
200,0.2,0.2,lawler,4.109299999999999,1.0
200,0.2,0.2,szwarc,8.6065,1.0
200,0.2,0.4,adaptive_v1,179.7352,1.0
200,0.2,0.4,adaptive_v2,272.81600000000003,1.0
200,0.2,0.4,adaptive_v3,267.86715000000004,1.0
200,0.2,0.4,both,157.7285,1.0
200,0.2,0.4,lawler,186.4906,1.0
200,0.2,0.4,szwarc,346.85825,1.0
200,0.2,0.6,adaptive_v1,442.69939999999997,1.0
200,0.2,0.6,adaptive_v2,601.2034,1.0
200,0.2,0.6,adaptive_v3,577.4260999999999,1.0
200,0.2,0.6,both,392.77405,1.0
200,0.2,0.6,lawler,434.31460000000004,1.0
200,0.2,0.6,szwarc,772.41445,1.0
200,0.2,0.8,adaptive_v1,164.7031,1.0
200,0.2,0.8,adaptive_v2,226.94065,1.0
200,0.2,0.8,adaptive_v3,222.51545,1.0
200,0.2,0.8,both,157.5053,1.0
200,0.2,0.8,lawler,161.68110000000001,1.0
200,0.2,0.8,szwarc,257.95305,1.0
200,0.4,0.2,adaptive_v1,0.0056,1.0
200,0.4,0.2,adaptive_v2,0.0057,1.0
200,0.4,0.2,adaptive_v3,0.00595,1.0
200,0.4,0.2,both,0.0049,1.0
200,0.4,0.2,lawler,0.0051,1.0
200,0.4,0.2,szwarc,0.005350000000000001,1.0
200,0.4,0.4,adaptive_v1,28.65215,1.0
200,0.4,0.4,adaptive_v2,56.7873,1.0
200,0.4,0.4,adaptive_v3,51.318650000000005,1.0
200,0.4,0.4,both,27.965850000000003,1.0
200,0.4,0.4,lawler,28.704349999999998,1.0
200,0.4,0.4,szwarc,60.282700000000006,1.0
200,0.4,0.6,adaptive_v1,154.3558,1.0
200,0.4,0.6,adaptive_v2,242.954,1.0
200,0.4,0.6,adaptive_v3,242.87545,1.0
200,0.4,0.6,both,138.9644,1.0
200,0.4,0.6,lawler,145.674,1.0
200,0.4,0.6,szwarc,306.58895,1.0
200,0.4,0.8,adaptive_v1,5.838100000000001,1.0
200,0.4,0.8,adaptive_v2,9.3622,1.0
200,0.4,0.8,adaptive_v3,9.2545,1.0
200,0.4,0.8,both,5.79865,1.0
200,0.4,0.8,lawler,5.9253,1.0
200,0.4,0.8,szwarc,9.7872,1.0
200,0.6,0.2,adaptive_v1,0.0056,1.0
200,0.6,0.2,adaptive_v2,0.0049499999999999995,1.0
200,0.6,0.2,adaptive_v3,0.0047,1.0
200,0.6,0.2,both,0.0045,1.0
200,0.6,0.2,lawler,0.00475,1.0
200,0.6,0.2,szwarc,0.0047,1.0
200,0.6,0.4,adaptive_v1,3.13135,1.0
200,0.6,0.4,adaptive_v2,5.872400000000001,1.0
200,0.6,0.4,adaptive_v3,5.12965,1.0
200,0.6,0.4,both,2.7285500000000003,1.0
200,0.6,0.4,lawler,2.91785,1.0
200,0.6,0.4,szwarc,6.1415500000000005,1.0
200,0.6,0.6,adaptive_v1,44.403999999999996,1.0
200,0.6,0.6,adaptive_v2,92.23349999999999,1.0
200,0.6,0.6,adaptive_v3,95.08305,1.0
200,0.6,0.6,both,50.482150000000004,1.0
200,0.6,0.6,lawler,43.469049999999996,1.0
200,0.6,0.6,szwarc,107.34909999999999,1.0
200,0.6,0.8,adaptive_v1,0.7817000000000001,1.0
200,0.6,0.8,adaptive_v2,0.918,1.0
200,0.6,0.8,adaptive_v3,1.03715,1.0
200,0.6,0.8,both,0.6186499999999999,1.0
200,0.6,0.8,lawler,0.80865,1.0
200,0.6,0.8,szwarc,0.8147,1.0
