source_file,config_norm,n,R,T,seed,solve_only_time_ms,solve_with_reconstruction_time_ms,overhead_ms,overhead_percent,wall_overhead_ms,wall_overhead_percent,actual_reconstruction_time_ms,solve_only_memory_mb,objective_match,order_valid,memory_mb,memory_ratio_to_solve_only,trace_hits,trace_fallbacks
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,700,0.2,0.4,3,18982.7,19511.7,529.0,2.786747933644845,535.371,2.813679,1.3343,481.004,True,True,721.507,1.5000020789847899,281.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,700,0.2,0.4,4,31101.2,31209.8,108.59999999999854,0.3491826681928625,122.685,0.393872,1.5426,661.29,True,True,991.935,1.5,322.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,700,0.4,0.6,0,19946.6,20201.8,255.20000000000073,1.2794160408290172,266.852,1.335363,2.6689,332.53,True,True,498.795,1.5000000000000002,432.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,700,0.4,0.6,1,29154.7,29126.1,-28.600000000002183,-0.09809739081521052,-21.831,-0.074774,2.6045,473.29,True,True,709.935,1.4999999999999998,470.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,700,0.4,0.6,2,15812.7,15956.3,143.59999999999854,0.9081308062506627,146.559,0.924569,1.9542,297.592,True,True,446.388,1.5,388.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,700,0.4,0.6,3,19760.8,20106.4,345.6000000000022,1.7489170478928089,350.732,1.771511,2.0231,346.713,True,True,520.069,1.4999985578850517,421.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,700,0.4,0.6,4,32348.6,32449.4,100.80000000000291,0.3116054481492334,106.458,0.328618,1.9314,504.309,True,True,756.463,1.4999990085443644,388.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,900,0.2,0.6,0,127984.0,129499.0,1515.0,1.1837417177147143,1590.574,1.241418,3.4971,2227.09,True,True,3155.05,1.416669285929172,514.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,900,0.2,0.6,1,154593.0,155284.0,691.0,0.4469801349349582,772.234,0.499011,3.8731,2572.52,True,True,3644.41,1.4166692581593145,528.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,900,0.2,0.6,2,134077.0,135308.0,1231.0,0.9181291347509267,1315.329,0.979984,4.058,2278.35,True,True,3227.67,1.4166699585226152,567.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,900,0.2,0.6,3,100574.0,101904.0,1330.0,1.322409370214966,1378.291,1.369043,3.4038,1723.57,True,True,2441.72,1.4166642492036876,501.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,900,0.2,0.6,4,154562.0,155809.0,1247.0,0.8067959783129101,1331.791,0.860804,3.9654,2592.86,True,True,3673.22,1.4166673094575102,552.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,900,0.2,0.4,0,67521.7,68462.5,940.8000000000029,1.3933298480340437,974.432,1.441219,2.1267,1480.27,True,True,2097.04,1.4166604741026976,382.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,900,0.2,0.4,1,55812.2,56412.1,599.9000000000015,1.0748546016820721,630.148,1.127319,1.9396,1340.79,True,True,1899.45,1.4166648020942878,301.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,900,0.2,0.4,2,65064.6,65497.9,433.3000000000029,0.6659535292616922,456.094,0.699943,2.2004,1421.3,True,True,2013.5,1.416660803489763,376.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,900,0.2,0.4,3,64291.2,64950.7,659.5,1.025801353840028,687.227,1.067384,1.9165,1476.38,True,True,2091.54,1.4166677955539901,355.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,900,0.2,0.4,4,67645.8,68590.3,944.5,1.396243373572343,990.573,1.462419,2.8,1437.4,True,True,2036.32,1.4166689856685681,449.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,900,0.4,0.6,0,53999.1,54444.9,445.8000000000029,0.8255693150441451,460.318,0.851398,3.5802,904.913,True,True,1281.96,1.4166665745767826,565.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,900,0.4,0.6,1,53211.8,53570.0,358.1999999999971,0.6731589609823331,374.051,0.702129,3.2395,833.742,True,True,1181.13,1.4166612693135288,521.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,900,0.4,0.6,2,52725.4,53089.7,364.29999999999563,0.6909383333270029,383.494,0.726459,3.5357,881.744,True,True,1249.14,1.4166696909760657,550.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,900,0.4,0.6,3,36956.4,37378.3,421.90000000000146,1.1416155253217344,433.435,1.171117,4.0262,600.435,True,True,850.616,1.4166662503018645,629.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,900,0.4,0.6,4,74382.0,74960.3,578.3000000000029,0.7774730445537937,601.681,0.808099,3.142,1176.11,True,True,1666.15,1.4166617068131384,509.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,1100,0.2,0.6,0,231666.0,233962.0,2296.0,0.9910819887251475,2399.256,1.03437,4.589,3970.26,True,True,5440.73,1.370371209945948,571.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,1100,0.2,0.6,1,295395.0,297641.0,2246.0,0.7603378527056992,2405.45,0.81339,3.9395,4753.9,True,True,6514.61,1.3703716948189908,525.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,1100,0.2,0.6,2,214709.0,216669.0,1960.0,0.9128634570511716,2070.171,0.963087,5.2202,3647.8,True,True,4998.83,1.3703684412522616,627.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,1100,0.2,0.6,3,294878.0,297340.0,2462.0,0.8349215607810687,2583.159,0.874956,5.0991,4626.25,True,True,6339.68,1.3703712510132398,611.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,1100,0.2,0.6,4,321225.0,323966.0,2741.0,0.8532959763405713,2890.077,0.898644,5.5818,4919.23,True,True,6741.17,1.370370972692881,688.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,1100,0.2,0.4,0,101772.0,102831.0,1059.0,1.0405612545690366,1103.985,1.082839,2.6228,2250.95,True,True,3084.63,1.3703680668162332,438.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,1100,0.2,0.4,1,107404.0,108768.0,1364.0,1.269971323228185,1455.61,1.353157,2.4008,2406.34,True,True,3297.58,1.3703716016855472,341.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,1100,0.2,0.4,2,96218.2,97415.8,1197.6000000000058,1.2446709666154698,1236.38,1.282605,2.4064,2166.71,True,True,2969.2,1.370372592548149,383.0,0.0
