source_file,source_scheme,series_norm,n,R,T,seed,instance_key,config_norm,status_norm,solved,objective_norm,time_ms_norm,timeout_sec_norm,penalized_time_ms,memory_peak_bytes_norm,nodes,process_memory_gate,possibly_process_gated,memo_exact_hits,memo_exact_queries,memo_lb_hits,memo_lb_queries,bound_time_ms,cleanup_time_ms,memo_cleanup_time_ms,memo_clean_time_ms,simple_lb_calls,simple_lb_prunes,memo_full_key_verification,enable_exact_memo,enable_memo,memory_limit_gb,memo_backend,enable_simple_lb,enable_lb_memo,enable_edd_ub,reconstruct_order,reconstruction_trace
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.6,4,50|R=0.2|T=0.6|seed=4|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.6_5.txt,ours_reconstruct,solved,True,12928.0,53.97,,53.97,1810432.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.6,5,50|R=0.2|T=0.6|seed=5|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.6_6.txt,ours_reconstruct,solved,True,10585.0,53.955,,53.955,1794048.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.6,6,50|R=0.2|T=0.6|seed=6|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.6_7.txt,ours_reconstruct,solved,True,14108.0,53.798,,53.798,1650688.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.6,7,50|R=0.2|T=0.6|seed=7|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.6_8.txt,ours_reconstruct,solved,True,12464.0,54.025,,54.025,1781760.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.6,8,50|R=0.2|T=0.6|seed=8|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.6_9.txt,ours_reconstruct,solved,True,13510.0,54.262,,54.262,1785856.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.6,9,50|R=0.2|T=0.6|seed=9|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.6_10.txt,ours_reconstruct,solved,True,10883.0,53.286,,53.286,1802240.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.8,0,50|R=0.2|T=0.8|seed=0|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.8_1.txt,ours_reconstruct,solved,True,23831.0,54.12,,54.12,1740800.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.8,1,50|R=0.2|T=0.8|seed=1|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.8_2.txt,ours_reconstruct,solved,True,19855.0,53.297,,53.297,1622016.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.8,2,50|R=0.2|T=0.8|seed=2|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.8_3.txt,ours_reconstruct,solved,True,22793.0,54.136,,54.136,1708032.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.8,3,50|R=0.2|T=0.8|seed=3|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.8_4.txt,ours_reconstruct,solved,True,25779.0,53.633,,53.633,1757184.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.8,4,50|R=0.2|T=0.8|seed=4|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.8_5.txt,ours_reconstruct,solved,True,25215.0,53.537,,53.537,1757184.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.8,5,50|R=0.2|T=0.8|seed=5|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.8_6.txt,ours_reconstruct,solved,True,20340.0,53.63,,53.63,1785856.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.8,6,50|R=0.2|T=0.8|seed=6|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.8_7.txt,ours_reconstruct,solved,True,27852.0,53.501,,53.501,1765376.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.8,7,50|R=0.2|T=0.8|seed=7|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.8_8.txt,ours_reconstruct,solved,True,24351.0,53.726,,53.726,1810432.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.8,8,50|R=0.2|T=0.8|seed=8|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.8_9.txt,ours_reconstruct,solved,True,25600.0,54.006,,54.006,1728512.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.2,0.8,9,50|R=0.2|T=0.8|seed=9|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.2_0.8_10.txt,ours_reconstruct,solved,True,21860.0,53.37,,53.37,1777664.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.2,0,50|R=0.4|T=0.2|seed=0|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.2_1.txt,ours_reconstruct,solved,True,26.0,53.577,,53.577,1744896.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.2,1,50|R=0.4|T=0.2|seed=1|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.2_2.txt,ours_reconstruct,solved,True,11.0,54.141,,54.141,1777664.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.2,2,50|R=0.4|T=0.2|seed=2|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.2_3.txt,ours_reconstruct,solved,True,34.0,53.308,,53.308,1794048.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.2,3,50|R=0.4|T=0.2|seed=3|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.2_4.txt,ours_reconstruct,solved,True,10.0,54.877,,54.877,1773568.0,,False,False,,,,,,,,,,,,,,,,,,,,
