series_norm,config_norm,n,R,T,total_count,solved_count,solved_rate,oot_count,oom_count,err_count,median_time_ms_solved,p90_time_ms_solved,median_penalized_time_ms,p90_penalized_time_ms,median_nodes,p90_nodes,median_memory_peak_bytes,p90_memory_peak_bytes,median_memo_exact_hit_rate,median_memo_lb_hit_rate,median_bound_time_share,median_cleanup_time_share
article_code_comparison,article_code,300,0.6,0.4,10,10,1.0,0,0,0,53.416,53.754,53.416,53.754,,,1810432.0,1821900.8,,,,
article_code_comparison,article_code,300,0.6,0.6,10,10,1.0,0,0,0,206.022,583.7121999999999,206.022,583.7121999999999,,,14434304.0,38421708.8,,,,
article_code_comparison,article_code,300,0.6,0.8,10,10,1.0,0,0,0,53.4895,53.8572,53.4895,53.8572,,,1847296.0,1912422.4,,,,
article_code_comparison,article_code,300,0.8,0.2,10,10,1.0,0,0,0,53.3605,53.9366,53.3605,53.9366,,,1835008.0,1868595.2,,,,
article_code_comparison,article_code,300,0.8,0.4,10,10,1.0,0,0,0,53.349000000000004,53.5861,53.349000000000004,53.5861,,,1812480.0,1819443.2,,,,
article_code_comparison,article_code,300,0.8,0.6,10,10,1.0,0,0,0,53.471500000000006,119.53779999999995,53.471500000000006,119.53779999999995,,,1814528.0,8709734.399999995,,,,
article_code_comparison,article_code,300,0.8,0.8,10,10,1.0,0,0,0,53.2475,53.6673,53.2475,53.6673,,,1814528.0,1856716.8,,,,
article_code_comparison,article_code,300,1.0,0.2,20,10,0.5,0,0,10,53.998,54.6091,6000027.791,12000000.0,,,1996800.0,2164736.0,,,,
article_code_comparison,article_code,300,1.0,0.4,20,10,0.5,0,0,10,53.9765,55.1832,6000027.9705,12000000.0,,,1984512.0,2190540.8000000003,,,,
article_code_comparison,article_code,300,1.0,0.6,20,10,0.5,0,0,10,54.144,54.6334,6000027.3455,12000000.0,,,1990656.0,2186854.4000000004,,,,
article_code_comparison,article_code,300,1.0,0.8,20,10,0.5,0,0,10,53.829,54.463899999999995,6000027.299,12000000.0,,,2000896.0,2179072.0,,,,
article_code_comparison,article_code,400,0.2,0.2,10,10,1.0,0,0,0,53.924499999999995,104.2941,53.924499999999995,104.2941,,,1835008.0,7878656.0,,,,
