R,T,n,rows,median_ours_wall_time_s,median_article_wall_time_s,median_ours_peak_gb,median_article_peak_gb,median_time_ratio,median_memory_ratio
0.8,0.6,50,10,0.053680500000000006,0.053278000000000006,0.0016460418701171875,0.00168609619140625,1.0083655,0.9747085
0.8,0.6,100,10,0.0536435,0.0534555,0.0016040802001953125,0.001697540283203125,1.0022635000000002,0.9497955
0.8,0.6,200,10,0.053899,0.053202,0.0016651153564453125,0.0016727447509765625,1.0122499999999999,0.9875385
0.8,0.6,300,10,0.054014,0.053471500000000005,0.0016651153564453125,0.001689910888671875,1.0066125,1.013212
0.8,0.6,400,10,0.152581,0.1151345,0.012712478637695312,0.007610321044921875,1.1982055,1.4758135000000001
0.8,0.6,500,10,0.15215,0.1100665,0.0146026611328125,0.0076503753662109375,1.4072235,1.543061
0.8,0.6,600,10,0.38755599999999996,0.27002499999999996,0.028600692749023438,0.016643524169921875,1.349123,1.4235945
0.8,0.6,700,10,0.32264899999999996,0.209893,0.030981063842773438,0.0130615234375,1.507987,1.8686795000000003
0.8,0.6,800,10,0.6303545,0.389785,0.042022705078125,0.024023056030273438,1.6518905,1.8535409999999999
0.8,0.6,900,10,0.6319905,0.4798825,0.052005767822265625,0.026624679565429688,1.628885,2.0305385
0.8,0.6,1000,10,1.2913185,0.845761,0.08539581298828125,0.04784202575683594,1.5711605,1.7778265
0.8,0.6,1100,10,2.4082115,1.289397,0.11253166198730469,0.06946754455566406,1.6206125,1.8089285
0.8,0.8,50,10,0.053765,0.0535505,0.001659393310546875,0.0016727447509765625,1.007457,0.9928945
0.8,0.8,100,10,0.053488499999999994,0.053209,0.001674652099609375,0.001689910888671875,1.004943,0.9798640000000001
0.8,0.8,200,10,0.053628999999999996,0.0534465,0.001659393310546875,0.001674652099609375,1.0015420000000002,0.954018
0.8,0.8,300,10,0.053741,0.053247499999999996,0.0016422271728515625,0.001689910888671875,1.006478,0.9624965
0.8,0.8,400,10,0.0630725,0.0601565,0.002140045166015625,0.0016918182373046875,1.0489389999999998,1.2818610000000001
0.8,0.8,500,10,0.06308,0.0601765,0.002002716064453125,0.001689910888671875,1.047971,1.165732
0.8,0.8,600,10,0.062841,0.0600715,0.0021190643310546875,0.00168609619140625,1.0460175,1.263554
0.8,0.8,700,10,0.0626505,0.0600015,0.001987457275390625,0.0016841888427734375,1.0443205,1.1804685
0.8,0.8,800,10,0.0625475,0.060106,0.001953125,0.001678466796875,1.0429595,1.1650625
0.8,0.8,900,10,0.062586,0.0599635,0.001995086669921875,0.0016765594482421875,1.0440575,1.172924
0.8,0.8,1000,10,0.062395,0.059925000000000006,0.001880645751953125,0.0016727447509765625,1.037088,1.1066639999999999
0.8,0.8,1100,10,0.104376,0.0535715,0.0051746368408203125,0.001689910888671875,1.8286395,2.9929415
1.0,0.2,50,10,0.0536835,0.0546995,0.00200653076171875,0.00200653076171875,0.9870625,1.0
1.0,0.2,100,10,0.053492,0.054203,0.00200653076171875,0.00200653076171875,0.98582,0.998099
1.0,0.2,200,10,0.0536105,0.053914500000000004,0.00202178955078125,0.002017974853515625,0.990904,1.000853
1.0,0.2,300,10,0.053297,0.053998000000000004,0.00200653076171875,0.00200653076171875,0.983586,1.0
1.0,0.2,400,10,0.053361000000000006,0.053718,0.002002716064453125,0.00199127197265625,0.9925459999999999,1.0
1.0,0.2,500,10,0.053373,0.054178500000000004,0.0020084381103515625,0.0020008087158203125,0.984953,1.0
1.0,0.2,600,10,0.0540935,0.054317,0.0020084381103515625,0.00200653076171875,1.0011679999999998,1.0038355
1.0,0.2,700,10,0.0533395,0.0536315,0.0020046234130859375,0.00200653076171875,0.9919235,1.0
1.0,0.2,800,10,0.0538105,0.053707000000000005,0.0020236968994140625,0.00200653076171875,1.0002085,1.0047294999999998
1.0,0.2,900,10,0.0533925,0.0543845,0.002002716064453125,0.0020084381103515625,0.9832595,0.992544
1.0,0.2,1000,10,0.054389,0.05402800000000001,0.00200653076171875,0.0020198822021484375,1.0027525,0.993398
1.0,0.2,1100,10,0.053367,0.053780999999999995,0.0020046234130859375,0.00200653076171875,0.989692,0.9886805000000001
1.0,0.4,50,10,0.053356,0.054251999999999995,0.00201416015625,0.00200653076171875,0.9852105,1.0
1.0,0.4,100,10,0.053418,0.053917,0.0020046234130859375,0.0020122528076171875,0.995386,0.9981095
1.0,0.4,200,10,0.0535245,0.0542965,0.00201416015625,0.002010345458984375,0.9852385,0.993371
1.0,0.4,300,10,0.05352,0.0539765,0.00200653076171875,0.0020198822021484375,0.989967,0.985822
1.0,0.4,400,10,0.053398,0.0540985,0.00200653076171875,0.0020084381103515625,0.984078,0.9905014999999999
1.0,0.4,500,10,0.054051,0.0540285,0.00200653076171875,0.0020046234130859375,1.001785,1.0
1.0,0.4,600,10,0.0535085,0.0536495,0.002017974853515625,0.00200653076171875,0.9996905,1.004744
1.0,0.4,700,10,0.053441,0.0541695,0.002002716064453125,0.00200653076171875,0.9837265,0.994293
1.0,0.4,800,10,0.053516,0.0539,0.00200653076171875,0.00202178955078125,0.98856,0.987732
1.0,0.4,900,10,0.053475999999999996,0.0536035,0.00200653076171875,0.0020122528076171875,0.9956955000000001,1.0
1.0,0.4,1000,10,0.053596000000000005,0.053828,0.00200653076171875,0.00200653076171875,0.9928285,0.990494
1.0,0.4,1100,10,0.053626,0.054224999999999995,0.00200653076171875,0.0020122528076171875,0.996424,0.9971645
1.0,0.6,50,10,0.053537999999999995,0.0542905,0.00200653076171875,0.002010345458984375,0.9867735,0.9942895
1.0,0.6,100,10,0.053333500000000006,0.0546105,0.002017974853515625,0.0020294189453125,0.979553,0.9914555
1.0,0.6,200,10,0.0541975,0.05382,0.00200653076171875,0.00202178955078125,0.9978020000000001,0.997159
1.0,0.6,300,10,0.053568,0.054144,0.0020084381103515625,0.0020122528076171875,0.992383,0.993398
1.0,0.6,400,10,0.053372,0.053883,0.0020046234130859375,0.00202178955078125,0.986756,0.9915145000000001
1.0,0.6,500,10,0.053422,0.0541805,0.00200653076171875,0.002010345458984375,0.9890384999999999,0.9895670000000001
1.0,0.6,600,10,0.053445,0.0545525,0.0020046234130859375,0.00200653076171875,0.9827265000000001,0.988636
